id;userId;buttonType;buttonData;referrerId;timestamp
1;7606207943;"main_menu_button";"🔮 Гадания";NULL;"2025-04-14 21:56:14"
2;7606207943;"fortune_button";"🧭 Компас судьбы (главное меню)";NULL;"2025-04-14 21:56:19"
3;7606207943;"fortune_action";"🧭 Компас судьбы (запуск)";NULL;"2025-04-14 21:56:20"
4;5036363594;"utm_referral_start";"utm_compass";7606207943;"2025-04-14 21:57:18"
5;5036363594;"utm_referral_start";"utm_compass";7606207943;"2025-04-14 21:59:07"
6;5036363594;"utm_referral_start";"utm_compass";12345;"2025-04-14 22:00:33"
7;5036363594;"utm_referral_start";"utm_compass";12345;"2025-04-14 22:00:33"
8;5036363594;"utm_referral_start";"utm_compass";7606207943;"2025-04-14 22:00:33"
9;5036363594;"main_menu_button";"🔮 Гадания";NULL;"2025-04-14 22:00:46"
10;5036363594;"fortune_button";"🎧 Морфей говорит (главное меню)";NULL;"2025-04-14 22:00:47"
11;5036363594;"utm_referral_start";"utm_compass";12345;"2025-04-14 22:00:51"
12;5036363594;"main_menu_button";"🔮 Гадания";NULL;"2025-04-14 22:01:39"
13;5036363594;"utm_referral_start";"utm_compass";543;"2025-04-14 22:02:40"
14;5036363594;"utm_referral_start";"utm_compass";1;"2025-04-14 22:02:57"
15;5036363594;"main_menu_button";"📖 Сонник";NULL;"2025-04-14 22:03:00"
16;5036363594;"menu_button";"🌙 Лунные сны";NULL;"2025-04-14 22:03:01"
17;7606207943;"fortune_button";"🎧 Морфей говорит (главное меню)";NULL;"2025-04-14 22:06:58"
