id			userId			buttonType			buttonData			referrerId			timestamp
6			7606207943			"command"			"/start"			NULL			"2025-04-21 17:14:11"
7			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 17:14:24"
8			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 17:16:44"
9			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 17:16:50"
10			7606207943			"fortune_action"			"✨ Гадание Да/Нет (запуск)"			NULL			"2025-04-21 17:16:54"
13			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 17:53:02"
14			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 17:53:09"
15			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 17:53:14"
16			7606207943			"fortune_action"			"✨ Гадание Да/Нет (запуск)"			NULL			"2025-04-21 17:53:17"
17			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 17:53:22"
18			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 17:53:28"
19			7606207943			"fortune_action"			"🧭 Компас судьбы (запуск)"			NULL			"2025-04-21 17:53:31"
20			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 17:53:43"
21			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 17:53:48"
22			7606207943			"fortune_action"			"🪐 Голос Вселенной (запуск)"			NULL			"2025-04-21 17:53:52"
23			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 17:54:07"
24			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 17:54:10"
25			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 17:54:19"
26			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 17:54:21"
27			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 18:06:09"
28			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:06:41"
29			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:10:17"
30			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:12:51"
31			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:13:06"
32			7606207943			"command"			"/start"			NULL			"2025-04-21 18:13:14"
33			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:13:16"
34			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 18:13:18"
35			7606207943			"fortune_action"			"🎧 Морфей говорит (Запуск)"			NULL			"2025-04-21 18:13:21"
36			7606207943			"fortune_action"			"🎧 Морфей говорит (Запуск аудио)"			NULL			"2025-04-21 18:13:22"
37			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:13:25"
38			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 18:14:10"
39			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:14:26"
40			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 18:14:29"
41			7606207943			"fortune_action"			"🪐 Голос Вселенной (запуск)"			NULL			"2025-04-21 18:14:32"
42			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 18:14:35"
43			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:14:37"
47			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:17:31"
48			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 18:18:16"
49			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:18:43"
50			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 18:18:47"
51			7606207943			"fortune_action"			"🧭 Компас судьбы (запуск)"			NULL			"2025-04-21 18:18:49"
52			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:18:52"
60			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:20:26"
62			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:22:04"
63			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:22:08"
64			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 18:24:54"
65			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:33:15"
70			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 18:38:30"
71			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:38:44"
72			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:38:46"
73			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:38:59"
74			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:39:47"
75			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 18:39:56"
76			7606207943			"fortune_action"			"🎧 Морфей говорит (Запуск)"			NULL			"2025-04-21 18:40:03"
77			7606207943			"fortune_action"			"🎧 Морфей говорит (Запуск аудио)"			NULL			"2025-04-21 18:40:06"
78			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:40:12"
81			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:44:28"
83			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 18:46:46"
84			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 18:48:38"
90			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 19:09:26"
91			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 19:09:43"
95			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 19:12:33"
100			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 19:28:12"
102			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 19:39:43"
114			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 19:55:40"
115			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 19:58:44"
116			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 20:07:03"
117			7606207943			"command"			"/start"			NULL			"2025-04-21 20:07:20"
118			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 20:07:28"
119			7606207943			"menu_button"			"📗 Инструкция по гаданиям"			NULL			"2025-04-21 20:07:29"
120			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 20:07:31"
121			7606207943			"fortune_action"			"⏰ Гадание времени (запуск)"			NULL			"2025-04-21 20:07:33"
122			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 20:07:37"
123			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 20:07:44"
124			7606207943			"command"			"/start"			NULL			"2025-04-21 20:08:07"
125			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 20:08:40"
126			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 20:08:47"
127			7606207943			"main_menu_button"			"🔮 Гадания"			NULL			"2025-04-21 20:08:50"
128			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 20:09:11"
129			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 20:09:20"
130			7606207943			"menu_button"			"👤 Мой аккаунт"			NULL			"2025-04-21 20:19:55"
